gid,dollars_per_acre
62,0.00000000000000000000
108,5578.6032268106818882
448,0.00000000000000000000
609,3732.8029877776429761
968,29683.9550618696231
1644,0.00000000000000000000
909,0.00000000000000000000
200,0.00000000000000000000
3518,6609.3027397351568697
1487,32479.6625697927464
2097,0.00000000000000000000
1982,10928.7644690963362
15,0.00000000000000000000
21,0.00000000000000000000
947,0.00000000000000000000
675,529.1093037791268071
246,0.00000000000000000000
883,170681.8456186400555
2414,0.00000000000000000000
2114,0.00000000000000000000
219,0.00000000000000000000
970,828.0632487981968724
1036,117013.9006921672107
2877,1125.6458762960652245
3367,0.00000000000000000000
2775,656.4841427679387855
2100,0.00000000000000000000
2774,0.00000000000000000000
1459,1079.8416604204339343
2083,2795.2852969847136219
2269,0.00000000000000000000
2067,0.00000000000000000000
2292,0.00000000000000000000
3919,0.00000000000000000000
762,31022.7301382034335
3526,6226.3811697112966112
3595,16201.0769826230130
1042,8085.2676637101930989
69,343032.88358748127445
316,24151.2433760015506
1069,363.5953050664871461
3300,39.4385082217993975
3724,0.00000000000000000000
1486,0.00000000000000000000
3219,0.00000000000000000000
553,15018.9970116548432
729,0.00000000000000000000
1819,25104.2060850620823
2690,122.6000229727220126
3962,628.6842193347078804
45,2221.6913617337776899
2504,0.00000000000000000000
635,312350.236980660742
666,0.00000000000000000000
3660,0.00000000000000000000
678,0.00000000000000000000
1948,42958.3620985677927
884,260719.7743476011666
171,607.1886334926512540
204,291173.25540577748431
251,26633.8706111154428
255,467.7786795148941900
1992,0.00000000000000000000
1032,73548.4765147708854
348,4936.0296959954200126
3058,36607.1930738085242
921,0.00000000000000000000
29,0.00000000000000000000
1753,1002.4075598620318434
2115,81266.654486873572
1791,0.00000000000000000000
192,12612.3410740847828
3967,3224.5748207734192320
3958,137336.2525323868646
388,20678.9160969196862
1995,81019.8186727653240
2065,28380.9687966977933
2796,0.00000000000000000000
198,2036003.6942653063998
769,418.8023343969159069
241,7414.7577738191765216
237,2147.2735053271892379
1029,135108.2380581805864
322,0.00000000000000000000
1067,2432.1388734225537305
2770,0.00000000000000000000
2256,102830.64775591417200
3044,7295.0390917737410995
2523,5180.1728835770069930
2524,0.00000000000000000000
2754,8926.7846639084924218
2795,0.00000000000000000000
2837,759.7017828848528883
756,11423.3585761527839
3045,0.00000000000000000000
1030,172113.3544504861430
2220,159.7069053685717654
804,14897.910763025450
875,85744.9457111500509
2408,397.3340419260202433
2425,0.00000000000000000000
2497,198.0203746429814659
2603,0.00000000000000000000
2629,4513.8515347665393401
2665,0.00000000000000000000
395,11703.5147588750456
1018,11519.7762083825032
949,191153.8390770007875
3853,5833.4828291111731845
2069,0.00000000000000000000
2953,0.00000000000000000000
1448,24585.6332458669697
1095,201782.7665171356576
2071,985.1092435196994246
2085,0.00000000000000000000
1108,14024.2148909447071
2285,5871.0399309345807701
1176,57708.0689780050018
1307,136245.8140013386148
1205,12381213.79052686267795
2299,26086.9052895400171
2594,0.00000000000000000000
2104,0.00000000000000000000
1621,0.00000000000000000000
1686,56898.7712044226266
1749,54839.4211737846667
1763,11650.0850605853638
1690,0.00000000000000000000
1829,2131.9931936860818229
1046,26021.5924809388941
1839,5892.1538264317660473
2059,0.00000000000000000000
1937,89428.6382870175011
3225,0.00000000000000000000
2958,0.00000000000000000000
3506,2352.0193990159645016
2810,10014.438007179813
1945,12683.2805571190596
2303,7228.4010483087760265
2605,0.00000000000000000000
2073,15564.3830385228994
2390,0.00000000000000000000
2952,0.00000000000000000000
257,0.00000000000000000000
2230,16381.8776769100796
2258,4620.8401674731424053
2245,545.7437671071500655
2255,3672.0846252706371247
2886,30673.782623250781
